Nom du site,Categorie,Adresse,Longitude,Latitude,Arrondissement,COG,Code_postal
Jardin des Trois Lucs,Jardins,Avenue des Poilus,5.464525,43.312763,Marseille 12,13212,13012
Jardin Aspirant Versini,Jardins,Boulevard Merle,5.4124575,43.301197,Marseille 12,13212,13012
Jardin Felicien David,Jardins,Boulevard d'Haiti,5.4139066,43.298187,Marseille 12,13212,13012
Jardin Beau Sainte Elisabeth,Jardins,Rue Beau,5.41009,43.30073,Marseille 12,13212,13012
Square Gillet,Jardins,Avenue de Montolivet,5.4128036,43.313026,Marseille 12,13212,13012
Parc de la Mirabelle,Parcs,Avenue William Booth,5.447614,43.296417,Marseille 12,13212,13012
Jardin de la Perrine,Jardins,Traverse de la Fourragere,5.4317884,43.301544,Marseille 12,13212,13012
Jardin Bonniot,Jardins,Avenue Bonniot,5.450801,43.31621,Marseille 12,13212,13012
Jardin des Camoins,Jardins,Chemin des Mines,5.5134053,43.30237,Marseille 11,13211,13011
Jardin de la Barasse,Jardins,Boulevard de la Barasse,5.480914,43.28527,Marseille 11,13211,13011
Jardin de Saint Marcel,Jardins,Boulevard de Saint Marcel,5.46796,43.286186,Marseille 11,13211,13011
Jardin de Saint Menet,Jardins,Avenue de Saint Menet,5.5011353,43.2884,Marseille 11,13211,13011