Nombre de pièces,2011,%,2016,%,2022,%,Arrondissement,COG,Code_postal
Ensemble,25800,100,26963,100,29419,100,Marseille 12,13212,13012
1 pièce,442,"1,7",602,"2,2",567,"1,9",Marseille 12,13212,13012
2 pièces,2727,"10,6",3080,"11,4",4139,"14,1",Marseille 12,13212,13012
3 pièces,8991,"34,8",9565,"35,5",10733,"36,5",Marseille 12,13212,13012
4 pièces,8251,32,8514,"31,6",8765,"29,8",Marseille 12,13212,13012
5 pièces ou plus,5389,"20,9",5203,"19,3",5216,"17,7",Marseille 12,13212,13012
Ensemble,22049,100,22918,100,24561,100,Marseille 11,13211,13011
1 pièce,350,"1,6",308,"1,3",523,"2,1",Marseille 11,13211,13011
2 pièces,2338,"10,6",2267,"9,9",2791,"11,4",Marseille 11,13211,13011
3 pièces,6699,"30,4",7142,"31,2",7972,"32,5",Marseille 11,13211,13011
4 pièces,7939,36,8389,"36,6",8221,"33,5",Marseille 11,13211,13011
5 pièces ou plus,4721,"21,4",4811,21,5053,"20,6",Marseille 11,13211,13011