Âge,Hommes,%,Femmes,%,Arrondissement,COG,Code_postal
Ensemble,29370,100,34906,100,Marseille 12,13212,13012
0 à 14 ans,5271,"17,9",5030,"14,4",Marseille 12,13212,13012
15 à 29 ans,4796,"16,3",5266,"15,1",Marseille 12,13212,13012
30 à 44 ans,5350,"18,2",6300,18,Marseille 12,13212,13012
45 à 59 ans,5668,"19,3",6770,"19,4",Marseille 12,13212,13012
60 à 74 ans,5215,"17,8",6294,18,Marseille 12,13212,13012
75 à 89 ans,2696,"9,2",4183,12,Marseille 12,13212,13012
90 ans ou plus,375,"1,3",1063,3,Marseille 12,13212,13012
Ensemble,28104,100,30929,100,Marseille 11,13211,13011
0 à 14 ans,5713,"20,3",5212,"16,9",Marseille 11,13211,13011
15 à 29 ans,4939,"17,6",5085,"16,4",Marseille 11,13211,13011
30 à 44 ans,4797,"17,1",5839,"18,9",Marseille 11,13211,13011
45 à 59 ans,5935,"21,1",6267,"20,3",Marseille 11,13211,13011
60 à 74 ans,4570,"16,3",5293,"17,1",Marseille 11,13211,13011
75 à 89 ans,1972,7,2810,"9,1",Marseille 11,13211,13011
90 ans ou plus,178,"0,6",424,"1,4",Marseille 11,13211,13011