Indicateur,Unité,Valeur,Arrondissement,COG,Code_postal
Nombre de ventes total,Nombre,4736,Marseille 12,13212,13012
Nombre de ventes - Appartement,Nombre,3748,Marseille 12,13212,13012
Nombre de ventes - Maison,Nombre,988,Marseille 12,13212,13012
Prix de vente médian au m²,€,3524,Marseille 12,13212,13012
Prix de vente médian au m² - Appartement,€,3203,Marseille 12,13212,13012
Prix de vente médian au m² - Maison,€,5455,Marseille 12,13212,13012
Nombre de ventes total,Nombre,3202,Marseille 11,13211,13011
Nombre de ventes - Appartement,Nombre,2108,Marseille 11,13211,13011
Nombre de ventes - Maison,Nombre,1094,Marseille 11,13211,13011
Prix de vente médian au m²,€,3070,Marseille 11,13211,13011
Prix de vente médian au m² - Appartement,€,2411,Marseille 11,13211,13011
Prix de vente médian au m² - Maison,€,4462,Marseille 11,13211,13011